week_start,week_end,active_customers,transaction_rows,billing_documents,total_sales_amount,total_quantity
2024-01-01,2024-01-07,32,291,0,81176.61,177971.0
2024-01-08,2024-01-14,47,325,0,119342.69,267734.0
2024-01-15,2024-01-21,29,263,0,67899.59,150221.0
2024-01-22,2024-01-28,53,422,0,99305.71,217704.0
2024-01-29,2024-02-04,38,306,0,78622.92,170398.0
2024-02-05,2024-02-11,59,360,0,82699.51,181906.0
2024-02-12,2024-02-18,46,402,0,87140.25,180018.0
2024-02-19,2024-02-25,36,274,0,74979.36,161661.0
2024-02-26,2024-03-03,51,350,0,72502.38,161793.0
2024-03-04,2024-03-10,48,403,0,104978.33,236926.0
2024-03-11,2024-03-17,37,374,0,85644.13,190863.0
2024-03-18,2024-03-24,39,323,0,88695.85,198645.0
2024-03-25,2024-03-31,46,373,0,84406.94,194633.0
2024-04-01,2024-04-07,50,402,0,88530.95,204674.0
2024-04-08,2024-04-14,23,183,0,45462.28,104214.05
2024-04-15,2024-04-21,13,98,0,22941.89,51243.0
2024-04-22,2024-04-28,35,261,0,52332.25,122164.0
2024-04-29,2024-05-05,32,329,0,75914.49,170483.0
2024-05-06,2024-05-12,39,254,0,68013.43000000001,156126.0
2024-05-13,2024-05-19,40,265,0,70205.58,159922.0
2024-05-20,2024-05-26,49,301,0,66911.04,150604.0
2024-05-27,2024-06-02,39,265,0,48372.34,104232.0
2024-06-03,2024-06-09,41,340,0,61129.02,126198.0
2024-06-10,2024-06-16,35,271,0,71271.85,145269.0
2024-06-17,2024-06-23,27,246,0,54131.96,121688.0
2024-06-24,2024-06-30,42,392,0,94639.84,208614.0
2024-07-01,2024-07-07,41,335,0,63417.3,137790.0
2024-07-08,2024-07-14,24,202,0,33413.24,73107.0
2024-07-15,2024-07-21,31,267,0,57339.48,131417.0
2024-07-22,2024-07-28,40,314,0,61075.020000000004,142382.0
2024-07-29,2024-08-04,32,316,0,54448.759999999995,123382.0
2024-08-05,2024-08-11,35,290,0,42257.69,93312.0
2024-08-12,2024-08-18,26,249,0,52030.33,120851.0
2024-08-19,2024-08-25,39,334,0,64206.72,149794.0
2024-08-26,2024-09-01,38,193,0,39151.130000000005,87915.0
2024-09-02,2024-09-08,31,202,0,32019.63,77800.0
2024-09-09,2024-09-15,32,220,0,40770.59,92182.0
2024-09-16,2024-09-22,27,224,0,45482.08,106789.0
2024-09-23,2024-09-29,32,204,0,34463.93,80572.0
2024-09-30,2024-10-06,4,9,0,2503.9199999999996,6938.0
2024-10-07,2024-10-13,20,157,0,26844.99,59690.0
2024-10-14,2024-10-20,30,226,0,41648.2,99953.0
2024-10-21,2024-10-27,35,323,0,65831.36,153186.0
2024-10-28,2024-11-03,37,310,0,62245.73,150019.0
2024-11-04,2024-11-10,35,214,0,42578.020000000004,97538.0
2024-11-11,2024-11-17,26,139,0,39009.32,93167.0
2024-11-18,2024-11-24,49,393,0,95959.8,214651.0
2024-11-25,2024-12-01,46,430,0,115926.56,272274.0
2024-12-02,2024-12-08,36,245,0,47813.11,108372.0
2024-12-09,2024-12-15,59,442,0,80137.09,171861.0
2024-12-16,2024-12-22,44,376,0,78189.2,171008.0
2024-12-23,2024-12-29,56,441,0,94739.25,206089.0
2024-12-30,2025-01-05,31,312,0,94239.48,222520.0
2025-01-06,2025-01-12,46,392,0,80575.33,170384.0
2025-01-13,2025-01-19,63,484,0,111699.62,250895.0
2025-01-20,2025-01-26,56,470,0,125810.72,285578.0
2025-01-27,2025-02-02,41,327,0,67940.05,162624.0
2025-02-03,2025-02-09,58,632,0,140526.57,325340.0
2025-02-10,2025-02-16,62,580,0,106503.17,244267.0
2025-02-17,2025-02-23,58,615,0,137591.9,309109.0
2025-02-24,2025-03-02,56,529,0,113331.13,259640.0
2025-03-03,2025-03-09,48,506,0,104583.7,224922.0
2025-03-10,2025-03-16,53,500,0,88791.91,203716.0
2025-03-17,2025-03-23,61,573,0,121927.65,257894.0
2025-03-24,2025-03-30,65,712,0,141027.6,325144.0
2025-03-31,2025-04-06,50,596,0,111793.06,246155.0
2025-04-07,2025-04-13,77,641,0,92407.53,208823.0
2025-04-14,2025-04-20,10,63,0,12016.68,28095.0
2025-04-21,2025-04-27,53,572,0,138803.83000000002,320171.0
2025-04-28,2025-05-04,73,567,0,117697.25,261783.0
2025-05-05,2025-05-11,90,636,0,105514.5,240497.0
2025-05-12,2025-05-18,45,419,0,80549.45,188444.0
2025-05-19,2025-05-25,48,481,0,87777.62,188869.0
2025-05-26,2025-06-01,48,487,0,91399.44,203608.0
2025-06-02,2025-06-08,90,659,0,105594.04,233375.0
2025-06-09,2025-06-15,47,470,0,87896.8,193486.0
2025-06-16,2025-06-22,55,558,0,107669.84999999999,241245.0
2025-06-23,2025-06-29,70,698,0,124640.25,285705.0
2025-06-30,2025-07-06,70,549,0,93134.04,211919.0
2025-07-07,2025-07-13,50,474,0,87606.81999999999,191790.0
2025-07-14,2025-07-20,52,525,0,112049.94,255965.0
2025-07-21,2025-07-27,58,569,0,110072.0,241597.0
2025-07-28,2025-08-03,71,657,0,132378.46,298229.0
2025-08-04,2025-08-10,74,848,0,193343.55,435651.0
2025-08-11,2025-08-17,87,811,0,161676.76,363308.0
2025-08-18,2025-08-24,100,759,0,159700.81,357325.0
2025-08-25,2025-08-31,73,797,0,177371.91,394435.0
2025-09-01,2025-09-07,93,835,0,159521.0,367819.0
2025-09-08,2025-09-14,90,779,0,176724.18,388042.0
2025-09-15,2025-09-21,64,603,0,121877.59,269623.0
2025-09-22,2025-09-28,62,433,0,94708.29,216217.0
2025-09-29,2025-10-05,78,623,0,148644.68,338345.0
2025-10-06,2025-10-12,105,916,0,199448.38,438235.0
2025-10-13,2025-10-19,80,865,0,187953.54,425313.0
2025-10-20,2025-10-26,74,640,0,143475.34,320387.0
2025-10-27,2025-11-02,109,867,0,142441.3,304595.66
2025-11-03,2025-11-09,56,521,0,94831.74,205579.0
2025-11-10,2025-11-16,98,804,0,170237.96,377041.0
2025-11-17,2025-11-23,77,801,0,168660.55,377721.0
2025-11-24,2025-11-30,84,768,0,172919.29,373973.16
2025-12-01,2025-12-07,115,914,0,182102.14,394282.0
2025-12-08,2025-12-14,103,888,0,203117.96,453804.0
2025-12-15,2025-12-21,101,980,0,187207.03,431764.0
2025-12-22,2025-12-28,83,964,0,218513.44,475161.0
2025-12-29,2026-01-04,83,986,0,203761.75,456844.33
2026-01-05,2026-01-11,135,1041,0,216232.17,492498.5
2026-01-12,2026-01-18,88,1000,0,224184.7,529871.0
2026-01-19,2026-01-25,121,1061,0,257652.02000000002,554584.02
2026-01-26,2026-02-01,87,953,0,223703.31,486170.0
2026-02-02,2026-02-08,127,1089,0,275874.44,598189.34
2026-02-09,2026-02-15,109,1009,0,274024.26,603170.0
2026-02-16,2026-02-22,86,679,0,146757.46,320142.0
2026-02-23,2026-03-01,128,1091,0,285932.46,618371.0
2026-03-02,2026-03-08,103,1078,0,264113.23,589103.0
2026-03-09,2026-03-15,140,1209,0,255101.63,565526.0
2026-03-16,2026-03-22,94,920,0,227843.07,477430.0
2026-03-23,2026-03-29,107,1059,0,278325.91,581566.0
2026-03-30,2026-04-05,122,1091,0,289733.56,668287.86
2026-04-06,2026-04-12,102,947,0,273387.91,581958.0
2026-04-13,2026-04-19,14,95,0,37425.5,89750.0
2026-04-20,2026-04-26,132,1070,0,288677.08999999997,640788.0
2026-04-27,2026-05-03,84,792,0,230210.19,480300.0
2026-05-04,2026-05-10,109,1136,0,307253.02,590181.0
2026-05-11,2026-05-17,110,1013,0,300582.91000000003,626969.0
2026-05-18,2026-05-24,152,1202,0,269896.01,565008.0
2026-05-25,2026-05-31,103,954,0,212251.71,474981.0
2026-06-01,2026-06-07,103,1179,0,289508.93,675981.0
2026-06-08,2026-06-14,113,861,0,195081.55,460626.0
2026-06-15,2026-06-21,110,1132,0,317295.99,628872.0
2026-06-22,2026-06-28,110,876,0,277134.42,518321.27
2026-06-29,2026-07-05,99,946,0,250081.94999999998,470989.0
2026-07-06,2026-07-12,157,1284,0,302220.85,654543.0
2026-07-13,2026-07-19,12,106,0,32221.11,64615.0
